feature,smd_unweighted,smd_dragon,smd_ctrl
age,0.24230015725607962,0.17197046475559102,0.17186834030772047
educ,0.04483024285091947,0.1320462571920623,0.1422613023706064
married,0.7207553911341303,0.19992829797439976,0.16658601930478859
nodegree,0.23549062035658636,0.10948129990168771,0.12662912111269414
re74,0.5967610550052682,0.2685305541521784,0.2431521733583855
re75,0.28755385709027925,0.16439634123411928,0.14376607192113927
race_hispan,0.2773976050966548,0.012671816936367847,0.06457912934427804
race_white,1.4079882006438926,0.11547491485236205,0.11258896109801342
